t,x,y,z
0,1,1.5,0
0.02,0.9998335,1.4996815,0.0071095
0.04,0.9993402,1.498733,0.014223
0.06,0.9985292,1.4971644,0.0213392
0.08,0.9974098,1.4949861,0.0284569
0.1,0.9959912,1.4922082,0.035575
0.12,0.9942824,1.488841,0.0426923
0.14,0.9922928,1.4848945,0.0498076
0.16,0.9900316,1.480379,0.0569197
0.18,0.9875079,1.4753046,0.0640276
0.2,0.9847309,1.4696815,0.0711299
0.22,0.9817098,1.46352,0.0782255
0.24,0.9784539,1.4568302,0.0853132
0.26,0.9749722,1.4496222,0.0923919
0.28,0.9712741,1.4419064,0.0994604
0.3,0.9673686,1.4336927,0.1065175
0.32,0.9632651,1.4249915,0.113562
0.34,0.9589727,1.4158129,0.1205928
0.36,0.9545005,1.4061671,0.1276086
0.38,0.9498578,1.3960643,0.1346083
0.4,0.9450538,1.3855146,0.1415908
0.42,0.9400977,1.3745283,0.1485547
0.44,0.9349987,1.3631154,0.1554991
0.46,0.9244086,1.3390511,0.1693241
0.48,0.9133571,1.3134031,0.1830564
0.5,0.9019178,1.2862528,0.1966867
0.52,0.8901642,1.2576817,0.2102054
0.54,0.87817,1.2277713,0.2236031
0.56,0.8660087,1.196603,0.2368706
0.58,0.8537538,1.1642583,0.2499982
0.6,0.8414789,1.1308187,0.2629766
0.62,0.8292575,1.0963655,0.2757964
0.64,0.8171633,1.0609804,0.2884482
0.66,0.8052698,1.0247446,0.3009226
0.68,0.7936506,0.9877398,0.31321
0.7,0.7823791,0.9500473,0.3253012
0.72,0.7715291,0.9117486,0.3371867
0.74,0.761174,0.8729253,0.348857
0.76,0.7513874,0.8336586,0.3603028
0.78,0.7422429,0.7940301,0.3715146
0.8,0.733814,0.7541213,0.3824831
0.82,0.7261744,0.7140136,0.3931987
0.84,0.7193975,0.6737885,0.4036522
0.86,0.7135569,0.6335274,0.413834
0.88,0.7087262,0.5933119,0.4237347
0.9,0.704979,0.5532233,0.433345
0.92,0.7023887,0.5133431,0.4426554
0.94,0.7010291,0.4737528,0.4516564
0.96,0.7009736,0.4345338,0.4603388
0.98,0.7022819,0.3957647,0.4686932
