t,x,y,z
0,1,1.5,0
0.02,0.9997799,1.4996864,0.0071171
0.04,0.9991281,1.4987525,0.0142528
0.06,0.9980572,1.4972081,0.0214055
0.08,0.9965799,1.4950634,0.0285736
0.1,0.9947088,1.4923283,0.0357554
0.12,0.9924565,1.489013,0.0429492
0.14,0.9898357,1.4851273,0.0501534
0.16,0.986859,1.4806815,0.0573663
0.18,0.9835391,1.4756854,0.0645863
0.2,0.9798885,1.4701491,0.0718117
0.22,0.97592,1.4640827,0.0790409
0.24,0.9716462,1.4574962,0.0862722
0.26,0.9670797,1.4503996,0.0935039
0.28,0.9622332,1.442803,0.1007344
0.3,0.9571193,1.4347163,0.1079621
0.32,0.9517506,1.4261496,0.1151852
0.34,0.9461398,1.417113,0.1224022
0.36,0.9402996,1.4076164,0.1296114
0.38,0.9342425,1.39767,0.136811
0.4,0.9279812,1.3872836,0.1439996
0.42,0.9215283,1.3764674,0.1511753
0.44,0.9148966,1.3652315,0.1583366
0.46,0.9011469,1.3415402,0.1726092
0.48,0.8868332,1.31629,0.1868042
0.5,0.8720567,1.2895612,0.2009084
0.52,0.8569185,1.2614341,0.2149083
0.54,0.8415197,1.2319888,0.2287909
0.56,0.8259614,1.2013056,0.2425429
0.58,0.8103448,1.1694648,0.2561511
0.6,0.794771,1.1365465,0.2696021
0.62,0.7793411,1.1026311,0.2828828
0.64,0.7641562,1.0677988,0.2959799
0.66,0.7493175,1.0321299,0.3088802
0.68,0.7349261,0.9957045,0.3215705
0.7,0.721083,0.9586029,0.3340374
0.72,0.7078895,0.9209054,0.3462678
0.74,0.6954467,0.8826922,0.3582484
0.76,0.6838556,0.8440436,0.369966
0.78,0.6732175,0.8050398,0.3814073
0.8,0.6636333,0.765761,0.3925591
0.82,0.6552044,0.7262876,0.4034081
0.84,0.6480317,0.6866996,0.4139412
0.86,0.6422164,0.6470775,0.424145
0.88,0.6378596,0.6075013,0.4340063
0.9,0.6350625,0.5680515,0.4435119
0.92,0.6342804,0.548399,0.4481272
0.94,0.6339262,0.5288082,0.4526486
0.96,0.6340124,0.509289,0.4570744
0.98,0.6345517,0.4898516,0.461403
1,0.6355556,0.4705057,0.4656328
1.02,0.6370129,0.4512572,0.4697634
1.04,0.6411665,0.4130624,0.4777283
1.06,0.6467667,0.3752864,0.4853018
1.08,0.653567,0.3379485,0.4924874
1.1,0.6613209,0.3010679,0.4992891
1.12,0.6697818,0.2646638,0.5057107
1.14,0.6787034,0.2287553,0.5117559
1.16,0.687839,0.1933618,0.5174287
1.18,0.6969422,0.1585023,0.5227328
1.2,0.7057664,0.1241962,0.5276719
1.22,0.7140652,0.0904625,0.5322501
1.24,0.7215921,0.0573206,0.5364709
1.26,0.7281005,0.0247895,0.5403384
1.28,0.7333439,-0.0071114,0.5438562
1.3,0.7354142,-0.0228195,0.5454852
1.32,0.7370759,-0.0383629,0.5470282
1.34,0.738298,-0.0537392,0.5484858
1.36,0.7390499,-0.068946,0.5498583
1.38,0.7393006,-0.0839808,0.5511462
1.4,0.7390194,-0.0988413,0.5523501
1.42,0.7381755,-0.113525,0.5534704
1.44,0.736738,-0.1280297,0.5545076
1.46,0.7346761,-0.1423527,0.5554621
1.48,0.7319591,-0.1564919,0.5563345
1.5,0.728556,-0.1704447,0.5571252
1.52,0.7244361,-0.1842088,0.5578347
1.54,0.7195687,-0.1977817,0.5584635
1.56,0.7139227,-0.2111611,0.559012
1.58,0.7074676,-0.2243445,0.5594807
1.6,0.7001723,-0.2373296,0.5598702
1.62,0.6920062,-0.250114,0.5601808
1.64,0.6829384,-0.2626952,0.560413
1.66,0.6729381,-0.2750709,0.5605674
1.68,0.6619745,-0.2872386,0.5606444
1.7,0.6501959,-0.2991665,0.5606526
1.72,0.6386376,-0.3107003,0.5606415
1.74,0.6164717,-0.3327547,0.5605907
1.76,0.5951481,-0.3539028,0.5605108
1.78,0.5741561,-0.3746779,0.5604121
1.8,0.5529853,-0.3956137,0.5603051
1.82,0.5311251,-0.4172436,0.5602002
1.84,0.5197768,-0.4284855,0.5601518
1.86,0.5080648,-0.440101,0.5601079
1.88,0.4959251,-0.4521568,0.5600697
1.9,0.483294,-0.4647196,0.5600386
1.92,0.4701076,-0.477856,0.5600158
1.94,0.4563021,-0.4916327,0.5600027
1.96,0.4273593,-0.5205971,0.5603657
1.98,0.4130185,-0.5350088,0.5611239
2,0.3988464,-0.5493115,0.5622854
2.02,0.3848541,-0.563509,0.5638401
2.04,0.3710529,-0.5776048,0.5657777
2.06,0.3440691,-0.6055062,0.5707605
2.08,0.3179849,-0.6330447,0.577152
2.1,0.2928903,-0.6602497,0.5848701
2.12,0.2688755,-0.6871501,0.593833
2.14,0.2460306,-0.7137753,0.6039587
2.16,0.2244455,-0.7401543,0.6151651
2.18,0.2042104,-0.7663163,0.6273705
2.2,0.1854153,-0.7922906,0.6404928
2.22,0.1765859,-0.8052164,0.6473721
2.24,0.1681502,-0.8181061,0.65445
2.26,0.1601196,-0.8309635,0.6617161
2.28,0.1525053,-0.8437922,0.6691602
2.3,0.1453186,-0.8565958,0.6767721
2.32,0.1385707,-0.8693779,0.6845415
2.34,0.1322728,-0.8821423,0.6924581
2.36,0.1264363,-0.8948925,0.7005118
2.38,0.1210723,-0.9076322,0.7086923
2.4,0.1161922,-0.920365,0.7169893
2.42,0.1118072,-0.9330947,0.7253926
2.44,0.1079285,-0.9458247,0.733892
2.46,0.1045675,-0.9585589,0.7424772
2.48,0.1017353,-0.9713008,0.7511379
2.5,0.0994433,-0.984054,0.759864
2.52,0.0977026,-0.9968223,0.7686451
2.54,0.0965246,-1.0096092,0.7774711
2.56,0.0959205,-1.0224184,0.7863316
2.58,0.0959016,-1.0352536,0.7952165
2.6,0.0964791,-1.0481184,0.8041155
2.62,0.0976643,-1.0610164,0.8130183
2.64,0.0994684,-1.0739513,0.8219148
2.66,0.1019027,-1.0869267,0.8307946
2.68,0.1049784,-1.0999464,0.8396475
2.7,0.1087069,-1.1130138,0.8484634
2.72,0.1130993,-1.1261326,0.8572318
2.74,0.118157,-1.1392974,0.865944
2.76,0.1238612,-1.1524835,0.8745938
2.78,0.1301904,-1.1656641,0.8831755
2.8,0.1371232,-1.1788123,0.8916834
2.82,0.144638,-1.1919011,0.9001116
2.84,0.1527135,-1.2049037,0.9084544
2.86,0.1613282,-1.2177932,0.916706
2.88,0.1704605,-1.2305426,0.9248608
2.9,0.1800892,-1.2431251,0.9329129
2.92,0.1901926,-1.2555137,0.9408567
2.94,0.2007494,-1.2676815,0.9486862
2.96,0.2117381,-1.2796017,0.9563958
2.98,0.2231372,-1.2912474,0.9639798
