t,x,y,z
2.52,0.1223704,-1.1510976,0.8698426
2.54,0.1285465,-1.164567,0.8769914
2.56,0.1354403,-1.177915,0.8841593
2.58,0.1430264,-1.1911187,0.8913388
2.6,0.1512791,-1.2041552,0.8985222
2.62,0.160173,-1.2170017,0.905702
2.64,0.1696825,-1.2296354,0.9128704
2.66,0.1797821,-1.2420335,0.92002
2.68,0.1904462,-1.2541732,0.9271431
2.7,0.2016494,-1.2660315,0.9342321
2.72,0.213366,-1.2775858,0.9412794
2.74,0.2255707,-1.2888132,0.9482775
2.76,0.2382377,-1.2996908,0.9552186
2.78,0.2513416,-1.3101959,0.9620952
2.8,0.2648569,-1.3203056,0.9688997
2.82,0.278758,-1.3299971,0.9756245
2.84,0.2930194,-1.3392476,0.982262
2.86,0.3076155,-1.3480342,0.9888046
2.88,0.3225209,-1.3563342,0.9952446
2.9,0.3377099,-1.3641247,1.0015745
2.92,0.3531572,-1.3713828,1.0077867
2.94,0.368837,-1.3780858,1.0138736
2.96,0.3847239,-1.3842109,1.0198275
2.98,0.4007924,-1.3897351,1.0256409
3,0.4170169,-1.3946358,1.0313061
3.02,0.4333719,-1.39889,1.0368156
3.04,0.4498318,-1.402475,1.0421618
3.06,0.4663712,-1.4053679,1.047337
3.08,0.4829645,-1.4075459,1.0523336
3.1,0.4995861,-1.4089862,1.0571441
3.12,0.5162105,-1.4096659,1.0617608
3.14,0.5328122,-1.4095623,1.0661761
3.16,0.5493657,-1.4086524,1.0703825
3.18,0.5658454,-1.4069136,1.0743723
3.2,0.5822258,-1.404323,1.0781379
3.22,0.5984814,-1.4008576,1.0816718
3.24,0.6145867,-1.3964953,1.0849663
3.26,0.6305228,-1.3912395,1.08802
3.28,0.646281,-1.3851352,1.0908407
3.3,0.6618534,-1.3782306,1.093437
3.32,0.6772324,-1.370574,1.0958176
3.34,0.6924099,-1.3622138,1.0979912
3.36,0.7073784,-1.3531983,1.0999662
3.38,0.7221298,-1.3435758,1.1017515
3.4,0.7366565,-1.3333946,1.1033556
3.42,0.7509505,-1.3227031,1.1047872
3.44,0.7650042,-1.3115497,1.1060549
3.46,0.7788096,-1.2999825,1.1071674
3.48,0.7923589,-1.28805,1.1081334
3.5,0.8056444,-1.2758004,1.1089613
3.52,0.8313926,-1.2505435,1.110238
3.54,0.8559915,-1.2245984,1.1110666
3.56,0.8793787,-1.1983517,1.1115163
3.58,0.9014917,-1.17219,1.1116561
3.6,0.9222679,-1.1465,1.1115553
3.62,0.9321352,-1.1339526,1.1114363
3.64,0.9416448,-1.1216681,1.111283
3.66,0.950789,-1.1096948,1.1111042
3.68,0.95956,-1.0980811,1.1109084
3.7,0.9679499,-1.0868752,1.1107043
3.72,0.9759509,-1.0761255,1.1105005
3.74,0.9835551,-1.0658803,1.1103057
3.76,0.9907549,-1.0561879,1.1101285
3.78,0.9975417,-1.0470854,1.1099734
3.8,1.0038779,-1.0380707,1.1096507
3.82,1.00975,-1.0288549,1.1090568
3.84,1.0151638,-1.0194415,1.108197
3.86,1.0201252,-1.0098338,1.1070761
3.88,1.0246402,-1.0000351,1.1056992
3.9,1.0287146,-0.9900488,1.1040712
3.92,1.0323545,-0.9798782,1.1021973
3.94,1.0355657,-0.9695268,1.1000824
3.96,1.0383541,-0.9589978,1.0977315
3.98,1.0407256,-0.9482947,1.0951497
4,1.0426863,-0.9374208,1.0923419
4.02,1.044242,-0.9263794,1.0893132
4.04,1.0453986,-0.915174,1.0860685
4.06,1.046162,-0.9038078,1.082613
4.08,1.0465382,-0.8922842,1.0789515
4.1,1.046533,-0.8806066,1.0750892
4.12,1.0461525,-0.8687783,1.071031
4.14,1.044289,-0.8446832,1.0623471
4.16,1.0409949,-0.8200258,1.0529398
4.18,1.0363176,-0.7948329,1.0428493
4.2,1.0303046,-0.7691313,1.0321157
4.22,1.0230031,-0.742948,1.0207791
4.24,1.0144605,-0.7163097,1.0088795
4.26,1.0047242,-0.6892434,0.9964572
