t,x,y,z
2.88,0.3484794,-1.3574322,0.9961189
2.9,0.3640598,-1.3646075,1.0022636
2.92,0.3797987,-1.3712738,1.0083205
2.94,0.3956654,-1.3774114,1.0142847
2.96,0.4116292,-1.3830007,1.0201511
2.98,0.4276594,-1.3880222,1.0259148
3,0.4437252,-1.3924561,1.0315708
3.02,0.459796,-1.3962829,1.0371141
3.04,0.475841,-1.399483,1.0425397
3.06,0.4918296,-1.4020367,1.0478426
3.08,0.507731,-1.4039246,1.053018
3.1,0.5235145,-1.4051269,1.0580607
3.12,0.5391494,-1.4056241,1.0629658
3.14,0.5546049,-1.4053966,1.0677284
3.16,0.5698505,-1.4044247,1.0723434
3.18,0.5848553,-1.4026889,1.0768059
3.2,0.5995886,-1.4001696,1.0811109
3.22,0.6140201,-1.3968474,1.0852533
3.24,0.6281365,-1.3927224,1.0892288
3.26,0.6419522,-1.3878253,1.0930336
3.28,0.6554835,-1.3821891,1.0966639
3.3,0.6687471,-1.3758471,1.1001161
3.32,0.6817594,-1.3688324,1.1033866
3.34,0.694537,-1.3611784,1.1064715
3.36,0.7070964,-1.3529181,1.1093672
3.38,0.7194541,-1.3440848,1.1120701
3.4,0.7316267,-1.3347117,1.1145764
3.42,0.7436307,-1.3248319,1.1168825
3.44,0.7554826,-1.3144787,1.1189846
3.46,0.7671989,-1.3036853,1.1208791
3.48,0.7787962,-1.2924848,1.1225622
3.5,0.8016999,-1.2689956,1.1252799
3.52,0.8243257,-1.2442767,1.127108
3.54,0.8468061,-1.2185935,1.1280171
3.56,0.8692731,-1.1922118,1.1279776
3.58,0.891859,-1.1653972,1.1269601
3.6,0.914696,-1.1384151,1.124935
3.62,0.9379163,-1.1115312,1.1218728
3.64,0.9616522,-1.0850112,1.117744
3.66,0.986036,-1.0591204,1.112519
3.68,1.0105956,-1.0338961,1.1062476
3.7,1.0220196,-1.0212301,1.1028412
3.72,1.0327811,-1.0084934,1.0992723
3.74,1.0428888,-0.9956876,1.0955444
3.76,1.0523514,-0.9828143,1.0916611
3.78,1.0611775,-0.9698752,1.087626
3.8,1.0693759,-0.9568718,1.0834428
