t,x,y,z
0,1,1.5,0
0.02,0.9998031,1.4997167,0.0135357
0.04,0.9992194,1.4988725,0.0268261
0.06,0.9982595,1.4974757,0.039874
0.08,0.9969342,1.4955348,0.0526818
0.1,0.9952541,1.4930579,0.065252
0.12,0.9932299,1.4900537,0.0775873
0.14,0.9908721,1.4865304,0.0896902
0.16,0.9881915,1.4824963,0.1015632
0.18,0.9851987,1.47796,0.1132089
0.2,0.9819043,1.4729296,0.1246297
0.22,0.9783191,1.4674138,0.1358284
0.24,0.9744536,1.4614207,0.1468074
0.26,0.9703186,1.4549587,0.1575692
0.28,0.9659246,1.4480364,0.1681165
0.3,0.9612824,1.4406619,0.1784518
0.32,0.9564025,1.4328438,0.1885775
0.34,0.9512957,1.4245903,0.1984963
0.36,0.9459725,1.4159098,0.2082108
0.38,0.9404437,1.4068108,0.2177234
0.4,0.9347199,1.3973016,0.2270367
0.42,0.9288118,1.3873905,0.2361533
0.44,0.9227299,1.377086,0.2450757
0.46,0.9164851,1.3663964,0.2538065
0.48,0.9100878,1.3553301,0.2623482
0.5,0.8968787,1.3321009,0.2788745
0.52,0.8831879,1.3074653,0.294675
0.54,0.8691006,1.2814904,0.3097702
0.56,0.8547021,1.2542431,0.3241804
0.58,0.8400776,1.2257905,0.337926
0.6,0.8253123,1.1961995,0.3510274
0.62,0.8104915,1.1655372,0.363505
0.64,0.7957004,1.1338705,0.3753793
0.66,0.7810241,1.1012665,0.3866705
0.68,0.766548,1.0677921,0.3973991
0.7,0.7523573,1.0335143,0.4075855
0.72,0.7385372,0.9985001,0.4172501
0.74,0.7251729,0.9628166,0.4264133
0.76,0.7123497,0.9265306,0.4350954
0.78,0.7001528,0.8897093,0.4433169
0.8,0.6886674,0.8524196,0.4510981
0.82,0.6779788,0.8147285,0.4584595
0.84,0.6681722,0.776703,0.4654214
0.86,0.6593328,0.7384101,0.4720042
0.88,0.6515459,0.6999168,0.4782284
0.9,0.6448966,0.6612901,0.4841143
0.92,0.6394703,0.6225969,0.4896823
0.94,0.6353521,0.5839044,0.4949528
0.96,0.6326272,0.5452794,0.4999462
0.98,0.631381,0.506789,0.5046829
1,0.6316987,0.4685002,0.5091833
1.02,0.6336654,0.4304799,0.5134678
1.04,0.6352937,0.4115914,0.5155354
1.06,0.6373537,0.3927936,0.517556
1.08,0.6426456,0.3554831,0.5214568
1.1,0.6492759,0.3185718,0.5251708
1.12,0.6569758,0.2820828,0.5286982
1.14,0.6654762,0.2460391,0.5320392
1.16,0.6745083,0.2104638,0.5351942
1.18,0.683803,0.1753798,0.5381635
1.2,0.6930916,0.1408103,0.5409473
1.22,0.7021049,0.1067781,0.543546
1.24,0.7105741,0.0733065,0.5459598
1.26,0.7182303,0.0404183,0.548189
1.28,0.7248044,0.0081366,0.5502339
1.3,0.7300277,-0.0235155,0.5520948
1.32,0.7320486,-0.0390983,0.5529563
1.34,0.733631,-0.0545151,0.5537719
1.36,0.7347412,-0.0697629,0.5545417
1.38,0.7353456,-0.084839,0.5552656
1.4,0.7354105,-0.0997404,0.5559438
1.42,0.7349024,-0.1144643,0.5565762
1.44,0.7337876,-0.1290078,0.5571629
1.46,0.7320325,-0.1433679,0.5577039
1.48,0.7296035,-0.1575419,0.5581993
1.5,0.726467,-0.1715269,0.558649
1.52,0.7225894,-0.1853199,0.5590532
1.54,0.7179369,-0.1989181,0.5594119
1.56,0.7124762,-0.2123186,0.559725
1.58,0.7061734,-0.2255185,0.5599927
1.6,0.698995,-0.238515,0.5602149
1.62,0.6909074,-0.2513052,0.5603918
1.64,0.6818769,-0.2638862,0.5605233
1.66,0.67187,-0.2762551,0.5606095
1.68,0.660853,-0.288409,0.5606504
1.7,0.6490678,-0.3002934,0.5606521
1.72,0.6376134,-0.3117221,0.5606404
1.74,0.6265477,-0.3227413,0.5606192
1.76,0.6053053,-0.3438394,0.5605535
1.78,0.5644361,-0.38429,0.5603629
1.8,0.5437006,-0.4047943,0.5602577
1.82,0.5330151,-0.4153682,0.5602069
1.84,0.5220254,-0.4262527,0.5601589
1.86,0.5106621,-0.4375196,0.5601151
1.88,0.498856,-0.449241,0.5600765
1.9,0.4865378,-0.4614889,0.5600445
1.92,0.4736382,-0.4743352,0.5600203
1.94,0.4600879,-0.4878521,0.560005
1.96,0.4458185,-0.5021105,0.5600005
1.98,0.4312974,-0.516686,0.5602495
2,0.4169636,-0.5311831,0.5609472
2.02,0.402829,-0.5456031,0.5620804
2.04,0.3889054,-0.5599473,0.5636362
2.06,0.3752045,-0.5742171,0.5656015
2.08,0.3617382,-0.5884137,0.5679632
2.1,0.3485182,-0.6025384,0.5707084
2.12,0.3355564,-0.6165926,0.5738239
2.14,0.3228646,-0.6305776,0.5772968
2.16,0.3104546,-0.6444945,0.581114
2.18,0.2983382,-0.6583449,0.5852624
2.2,0.2865272,-0.6721299,0.5897291
2.22,0.2750333,-0.6858508,0.594501
2.24,0.2638685,-0.699509,0.599565
2.26,0.2530444,-0.7131058,0.6049081
2.28,0.242573,-0.7266424,0.6105173
2.3,0.2324659,-0.7401202,0.6163796
2.32,0.2227351,-0.7535405,0.6224818
2.34,0.2133923,-0.7669045,0.628811
2.36,0.2044493,-0.7802136,0.6353542
2.38,0.1959179,-0.7934692,0.6420982
2.4,0.1878099,-0.8066724,0.6490301
2.42,0.1801372,-0.8198245,0.6561368
2.44,0.1729115,-0.832927,0.6634052
2.46,0.1661446,-0.8459811,0.6708224
2.48,0.1598484,-0.8589881,0.6783753
2.5,0.1540346,-0.8719492,0.6860508
2.52,0.1487151,-0.8848659,0.693836
2.54,0.1439016,-0.8977394,0.7017178
2.56,0.1396059,-0.910571,0.7096831
2.58,0.13584,-0.923362,0.7177189
2.6,0.1326154,-0.9361138,0.7258121
2.62,0.1299442,-0.9488275,0.7339498
2.64,0.127838,-0.9615046,0.7421189
2.66,0.1263086,-0.9741463,0.7503064
2.68,0.125368,-0.9867539,0.7584991
2.7,0.1250278,-0.9993288,0.7666842
2.72,0.1252999,-1.0118722,0.7748485
2.74,0.1261961,-1.0243854,0.7829789
2.76,0.1277282,-1.0368698,0.7910626
2.78,0.1299079,-1.0493267,0.7990864
2.8,0.1327472,-1.0617572,0.8070372
2.82,0.1362577,-1.0741629,0.8149022
2.84,0.1404514,-1.0865449,0.8226681
2.86,0.1453399,-1.0989045,0.830322
2.88,0.1509351,-1.1112431,0.8378508
2.9,0.1572382,-1.1235549,0.8452458
2.92,0.1642253,-1.135818,0.852508
2.94,0.1718694,-1.148008,0.8596398
2.96,0.1801431,-1.1601006,0.8666438
2.98,0.1890192,-1.1720715,0.8735222
3,0.1984705,-1.1838964,0.8802776
3.02,0.2084698,-1.195551,0.8869125
3.04,0.2189898,-1.2070109,0.8934292
3.06,0.2300034,-1.2182518,0.8998303
3.08,0.2414832,-1.2292494,0.9061181
3.1,0.253402,-1.2399794,0.9122951
3.12,0.2657327,-1.2504175,0.9183639
3.14,0.278448,-1.2605394,0.9243267
3.16,0.2915206,-1.2703206,0.9301861
3.18,0.3049233,-1.2797371,0.9359445
3.2,0.318629,-1.2887643,0.9416044
3.22,0.3326103,-1.297378,0.9471682
3.24,0.34684,-1.3055539,0.9526384
3.26,0.3612909,-1.3132676,0.9580173
3.28,0.3759358,-1.3204948,0.9633076
3.3,0.3907475,-1.3272113,0.9685115
3.32,0.4056987,-1.3333927,0.9736316
3.34,0.4207621,-1.3390147,0.9786703
3.36,0.4359106,-1.3440529,0.98363
3.38,0.4511169,-1.3484831,0.9885132
3.4,0.4663539,-1.3522809,0.9933224
3.42,0.4815942,-1.355422,0.99806
3.44,0.4968106,-1.3578822,1.0027284
3.46,0.5119759,-1.359637,1.0073301
3.48,0.5270629,-1.3606621,1.0118676
3.5,0.5420443,-1.3609334,1.0163432
3.52,0.5568929,-1.3604263,1.0207595
3.54,0.5715861,-1.3591244,1.0251179
3.56,0.5861221,-1.3570464,1.0294155
3.58,0.600505,-1.3542209,1.0336481
3.6,0.6147389,-1.3506765,1.0378116
3.62,0.6288279,-1.3464419,1.0419019
3.64,0.6427762,-1.3415457,1.0459148
3.66,0.6565877,-1.3360166,1.0498462
3.68,0.6702667,-1.3298832,1.0536918
3.7,0.6838173,-1.3231742,1.0574476
3.72,0.6972435,-1.3159181,1.0611093
3.74,0.7105495,-1.3081438,1.0646729
3.76,0.7237394,-1.2998797,1.0681342
3.78,0.7368172,-1.2911545,1.071489
3.8,0.7497872,-1.281997,1.0747331
3.82,0.7754198,-1.2624992,1.080873
3.84,0.8006702,-1.2416155,1.0865205
3.86,0.8255711,-1.219575,1.0916425
3.88,0.8501555,-1.196607,1.0962057
3.9,0.8744563,-1.1729404,1.1001769
3.92,0.8985063,-1.1488046,1.103523
3.94,0.9223384,-1.1244286,1.1062105
3.96,0.9459854,-1.1000417,1.1082065
3.98,0.9694803,-1.0758729,1.1094775
4,0.992856,-1.0521514,1.1099905
4.02,1.0043622,-1.0404586,1.1099635
4.04,1.015265,-1.0286654,1.1097822
4.06,1.025543,-1.0167601,1.109451
4.08,1.0352041,-1.004745,1.1089717
4.1,1.0442563,-0.9926224,1.1083467
4.12,1.0527078,-0.9803944,1.1075779
4.14,1.0605664,-0.9680634,1.1066676
4.16,1.0678402,-0.9556315,1.1056176
4.18,1.0745373,-0.9431009,1.1044303
4.2,1.0806657,-0.9304741,1.1031077
4.22,1.0862334,-0.917753,1.1016518
4.24,1.0912485,-0.9049401,1.1000648
4.26,1.0957189,-0.8920376,1.0983488
4.28,1.0996527,-0.8790476,1.0965058
4.3,1.103058,-0.8659724,1.094538
4.32,1.1059427,-0.8528143,1.0924476
4.34,1.1083149,-0.8395756,1.0902364
4.36,1.1101826,-0.8262583,1.0879068
4.38,1.1115538,-0.8128649,1.0854608
4.4,1.1124366,-0.7993974,1.0829004
4.42,1.112839,-0.7858583,1.0802278
4.44,1.112769,-0.7722496,1.0774451
4.46,1.1122347,-0.7585737,1.0745543
4.48,1.111244,-0.7448327,1.0715577
4.5,1.1098051,-0.731029,1.0684572
4.52,1.1079259,-0.7171647,1.065255
4.54,1.1056145,-0.7032422,1.0619532
4.56,1.1028788,-0.6892635,1.0585539
4.58,1.096167,-0.661147,1.0514711
4.6,1.0878547,-0.6328332,1.0440235
4.62,1.0780062,-0.6043399,1.0362277
4.64,1.0666855,-0.575685,1.0281007
4.66,1.0539571,-0.5468866,1.0196593
4.68,1.0398851,-0.5179624,1.0109202
4.7,1.0245337,-0.4889304,1.0019002
4.72,1.0079671,-0.4598085,0.9926162
4.74,0.9902496,-0.4306147,0.983085
4.76,0.9714455,-0.4013669,0.9733233
4.78,0.9516188,-0.3720829,0.9633479
4.8,0.9308339,-0.3427807,0.9531757
4.82,0.909155,-0.3134782,0.9428235
4.84,0.8866462,-0.2841933,0.9323081
4.86,0.8633719,-0.2549439,0.9216462
4.88,0.8393963,-0.225748,0.9108546
4.9,0.8147835,-0.1966234,0.8999503
4.92,0.7895978,-0.1675882,0.8889499
4.94,0.7639035,-0.1386601,0.8778703
4.96,0.7112456,-0.0811972,0.8555406
4.98,0.6573237,-0.0243781,0.8330957
5,0.6026516,0.031654,0.8106699
5.02,0.547743,0.0867556,0.7883977
5.04,0.4931119,0.1407835,0.7664135
5.06,0.4392719,0.1935943,0.7448517
5.08,0.4128091,0.2194986,0.7342713
5.1,0.3867368,0.2450448,0.7238468
5.12,0.3611192,0.2702151,0.7135952
5.14,0.3360205,0.2949915,0.7035331
5.16,0.311505,0.3193562,0.6936775
5.18,0.2876368,0.3432912,0.6840451
5.2,0.2644802,0.3667786,0.6746528
5.22,0.2420994,0.3898005,0.6655172
5.24,0.2205587,0.412339,0.6566553
5.26,0.1999139,0.4344104,0.6480835
5.28,0.1801885,0.4561657,0.6398168
5.3,0.161398,0.4777884,0.6318701
5.32,0.1435579,0.4994622,0.6242579
5.34,0.1266836,0.5213707,0.6169952
5.36,0.1107906,0.5436978,0.6100965
5.38,0.0958945,0.566627,0.6035767
5.4,0.0820107,0.5903419,0.5974505
5.42,0.0691547,0.6150263,0.5917326
5.44,0.057342,0.6408639,0.5864378
5.46,0.0518317,0.6542725,0.5839537
5.48,0.046588,0.6680382,0.5815808
5.5,0.0416129,0.6821841,0.5793211
5.52,0.0369083,0.6967331,0.5771764
5.54,0.0324762,0.7117081,0.5751485
5.56,0.0283184,0.727132,0.5732392
5.58,0.0244369,0.743028,0.5714505
5.6,0.0208337,0.7594188,0.5697841
5.62,0.0175106,0.7763275,0.5682419
5.64,0.0144697,0.7937771,0.5668257
5.66,0.0117128,0.8117904,0.5655374
5.68,0.0092419,0.8303905,0.5643788
5.7,0.0070589,0.8496002,0.5633518
5.72,0.0051658,0.8694427,0.5624582
5.74,0.0035644,0.8899407,0.5616998
5.76,0.0022568,0.9111174,0.5610785
5.78,0.0012449,0.9329956,0.5605962
5.8,0.0005305,0.9555982,0.5602546
5.82,0.0001157,0.9789484,0.5600557
5.84,0,1.0030132,0.559968
5.86,0.0000006,1.01409,0.5592405
5.88,0.0000018,1.0238187,0.5576542
5.9,0.0000033,1.0323908,0.5553432
5.92,0.0000048,1.0399979,0.5524417
5.94,0.0000062,1.0468315,0.549084
5.96,0.000007,1.0530832,0.5454042
5.98,0.0000063,1.0646071,0.5376152
6,0.0000005,1.076102,0.5301481
6.02,-0.0000049,1.0822952,0.526856
6.04,-0.0000115,1.0888889,0.5239365
6.06,-0.0000189,1.0958878,0.5214004
6.08,-0.0000265,1.103297,0.5192584
6.1,-0.0000337,1.1111212,0.5175211
6.12,-0.0000399,1.1193653,0.5161993
6.14,-0.0000447,1.1280342,0.5153037
6.16,-0.0000474,1.1371327,0.5148449
6.18,-0.0000474,1.1466186,0.5149037
6.2,-0.0000447,1.1561023,0.5159391
6.22,-0.0000399,1.1653195,0.5180048
6.24,-0.0000336,1.1740531,0.5210663
6.26,-0.0000264,1.1820864,0.5250892
6.28,-0.000019,1.1892023,0.5300393
6.3,-0.000012,1.1951841,0.5358822
6.32,-0.0000061,1.1998148,0.5425835
6.34,-0.0000037,1.2015557,0.5462453
6.36,-0.0000019,1.2028775,0.5501089
6.38,-0.0000006,1.2037532,0.5541699
6.4,0,1.2041554,0.558424
6.42,0,1.2040581,0.5627796
6.44,0,1.2034629,0.5669694
6.46,0,1.2023979,0.5709701
6.48,0,1.2008916,0.5747762
6.5,0,1.1989727,0.5783823
6.52,0,1.1966698,0.5817828
6.54,0,1.1910267,0.5879449
6.56,0,1.1841914,0.5932185
6.58,0,1.176393,0.5975593
6.6,0,1.1678607,0.6009233
6.62,0,1.1588236,0.6032663
6.64,0,1.1495108,0.6045441
6.66,0,1.1401756,0.6047184
6.68,0,1.1312534,0.6038719
6.7,0,1.122812,0.602159
6.72,0,1.1148169,0.5997274
6.74,0,1.1072342,0.5967251
6.76,0,1.1000294,0.5933001
6.78,0,1.0931685,0.5896002
6.8,0,1.0803411,0.5819676
6.82,0,1.0684155,0.5749517
6.84,0,1.0564146,0.5690788
6.86,0,1.0499639,0.5666266
6.88,0,1.0429872,0.5645258
6.9,0,1.0353148,0.5627982
6.92,0,1.0267773,0.5614651
6.94,0,1.0172053,0.5605483
6.96,0,1.0064292,0.5600691
6.98,-0.0000245,0.9824444,0.5602224
7,-0.0001402,0.9590259,0.5612397
7.02,-0.0003549,0.9363965,0.563056
7.04,-0.0006728,0.9145364,0.5656441
7.06,-0.0010984,0.8934258,0.568977
7.08,-0.0016359,0.8730446,0.5730274
7.1,-0.0022898,0.8533731,0.5777681
7.12,-0.0030643,0.8343912,0.5831719
