t,x,y,z
0,1,1.5,0
0.02,0.9998091,1.4997257,0.0135345
0.04,0.999243,1.4989083,0.0268217
0.06,0.998312,1.4975557,0.0398641
0.08,0.9970263,1.4956759,0.0526643
0.1,0.9953959,1.493277,0.0652249
0.12,0.9934312,1.4903669,0.0775486
0.14,0.9911421,1.4869536,0.0896379
0.16,0.9885389,1.4830452,0.1014954
0.18,0.9856318,1.4786497,0.1131237
0.2,0.9824309,1.473775,0.1245255
0.22,0.9789464,1.4684291,0.1357033
0.24,0.9751884,1.4626201,0.1466597
0.26,0.9711671,1.456356,0.1573974
0.28,0.9668928,1.4496448,0.1679189
0.3,0.9623754,1.4424944,0.1782268
0.32,0.9576253,1.4349129,0.1883237
0.34,0.9526526,1.4269082,0.1982123
0.36,0.9474674,1.4184885,0.2078951
0.38,0.9420799,1.4096616,0.2173748
0.4,0.9365003,1.4004357,0.2266539
0.42,0.9307387,1.3908186,0.235735
0.44,0.9248053,1.3808184,0.2446207
0.46,0.9187103,1.3704432,0.2533137
0.48,0.9124638,1.3597008,0.2618166
0.5,0.899557,1.3371468,0.2782621
0.52,0.8861664,1.3132204,0.2939782
0.54,0.8723732,1.2879858,0.3089857
0.56,0.8582587,1.2615069,0.3233053
0.58,0.8439043,1.2338477,0.3369579
0.6,0.8293913,1.2050723,0.3499642
0.62,0.814801,1.1752447,0.3623451
0.64,0.8002147,1.144429,0.3741214
0.66,0.7857138,1.1126891,0.3853139
0.68,0.7713795,1.0800891,0.3959433
0.7,0.7572932,1.0466931,0.4060306
0.72,0.7435363,1.012565,0.4155964
0.74,0.7301899,0.9777689,0.4246616
0.76,0.7173355,0.9423688,0.433247
0.78,0.7050544,0.9064288,0.4413735
0.8,0.6934279,0.8700128,0.4490617
0.82,0.6825373,0.833185,0.4563325
0.84,0.6724639,0.7960093,0.4632068
0.86,0.663289,0.7585497,0.4697053
0.88,0.6550941,0.7208703,0.4758488
0.9,0.6479603,0.6830352,0.4816581
0.92,0.6419691,0.6451083,0.4871541
0.94,0.6372016,0.6071537,0.4923574
0.96,0.6337394,0.5692354,0.4972891
0.98,0.6316636,0.5314175,0.5019698
1,0.6310556,0.4937639,0.5064203
1.02,0.6319967,0.4563387,0.5106615
1.04,0.6345683,0.4192059,0.5147141
