t,x,y,z
0,1,1.5,0
0.02,0.9998027,1.4997161,0.0135357
0.04,0.9992178,1.4988702,0.0268264
0.06,0.9982561,1.4974705,0.0398747
0.08,0.9969282,1.4955255,0.052683
0.1,0.9952449,1.4930436,0.0652539
0.12,0.9932167,1.4900332,0.07759
0.14,0.9908545,1.4865027,0.0896938
0.16,0.9881688,1.4824604,0.1015678
0.18,0.9851704,1.4779149,0.1132147
0.2,0.9818699,1.4728744,0.1246369
0.22,0.9782781,1.4673474,0.135837
0.24,0.9744057,1.4613422,0.1468175
0.26,0.9702632,1.4548674,0.157581
0.28,0.9658614,1.4479312,0.16813
0.3,0.961211,1.4405421,0.1784671
0.32,0.9563227,1.4327085,0.1885948
0.34,0.9512071,1.4244388,0.1985157
0.36,0.945875,1.4157413,0.2082323
0.38,0.940337,1.4066245,0.2177472
0.4,0.9346039,1.3970968,0.2270628
0.42,0.9286862,1.3871665,0.2361818
0.44,0.9225947,1.3768421,0.2451067
0.46,0.9163401,1.366132,0.25384
0.48,0.909933,1.3550446,0.2623843
0.5,0.8967043,1.3317713,0.2789161
0.52,0.8829941,1.3070894,0.2947223
0.54,0.8688878,1.2810662,0.3098234
0.56,0.854471,1.2537688,0.3242397
0.58,0.8398291,1.2252645,0.3379916
0.6,0.8250476,1.1956204,0.3510994
0.62,0.8102121,1.1649037,0.3635835
0.64,0.7954079,1.1331816,0.3754643
0.66,0.7807207,1.1005213,0.3867621
0.68,0.7662358,1.06699,0.3974973
0.7,0.7520388,1.0326548,0.4076903
0.72,0.7382151,0.9975831,0.4173614
0.74,0.7248503,0.9618419,0.426531
0.76,0.7120298,0.9254984,0.4352194
0.78,0.6998392,0.8886199,0.4434471
0.8,0.6883638,0.8512736,0.4512344
0.82,0.6776893,0.8135266,0.4586016
0.84,0.667901,0.775446,0.4655691
0.86,0.6590845,0.7370993,0.4721573
0.88,0.6513253,0.6985534,0.4783866
0.9,0.6447089,0.6598756,0.4842772
0.92,0.6393207,0.6211331,0.4898497
0.94,0.6352462,0.5823931,0.4951243
0.96,0.6325709,0.5437227,0.5001214
0.98,0.6313804,0.5051892,0.5048613
1,0.63176,0.4668598,0.5093645
1.02,0.6337954,0.4288016,0.5136513
1.04,0.6354605,0.4098952,0.5157199
1.06,0.6375561,0.3910799,0.5177412
1.08,0.6429122,0.3537353,0.5216423
1.1,0.6495966,0.3167913,0.5253553
1.12,0.6573399,0.2802715,0.5288804
1.14,0.6658722,0.244199,0.5322181
