Lap Times,Passed Gates,Max Velocity,Mean Velocity
6.36,4,2.71,1.34
-1.00,2,2.68,1.24
5.94,4,2.73,1.44
6.40,4,2.78,1.33
6.10,4,2.77,1.39
-1.00,3,2.81,1.40
6.26,4,2.68,1.42
6.24,4,2.65,1.35
6.36,4,2.71,1.37
5.90,4,2.76,1.45
6.06,4,2.82,1.39
6.28,4,2.73,1.34
6.48,4,2.73,1.35
6.20,4,2.92,1.39
6.26,4,2.69,1.36
5.74,4,2.83,1.47
6.30,4,2.78,1.37
6.14,4,2.66,1.38
6.10,4,2.67,1.38
6.02,4,2.79,1.43
5.82,4,2.89,1.44
5.84,4,2.73,1.46
5.96,4,2.72,1.45
6.16,4,2.59,1.36
6.86,4,2.64,1.26
6.34,4,2.71,1.34
6.24,4,2.77,1.38
5.96,4,2.69,1.39
5.84,4,2.73,1.47
5.62,4,2.91,1.50
5.36,4,2.77,1.52
-1.00,3,2.95,1.48
5.72,4,3.05,1.52
5.64,4,2.80,1.47
6.20,4,2.77,1.39
6.24,4,3.48,1.42
6.12,4,2.62,1.36
6.00,4,2.84,1.42
5.48,4,2.83,1.60
6.22,4,2.66,1.36
6.12,4,2.79,1.40
5.96,4,2.76,1.40
5.78,4,2.82,1.45
-1.00,0,2.65,1.79
6.08,4,2.78,1.38
5.72,4,2.72,1.47
5.98,4,2.68,1.42
6.10,4,2.98,1.38
-1.00,0,2.68,1.69
6.22,4,2.67,1.36
6.34,4,2.73,1.37
5.78,4,2.75,1.47
6.08,4,2.75,1.38
6.22,4,2.85,1.38
6.32,4,2.76,1.41
5.62,4,2.75,1.49
5.98,4,2.81,1.43
6.26,4,2.61,1.37
5.92,4,2.64,1.42
6.18,4,2.79,1.40
5.84,4,2.86,1.45
6.24,4,2.74,1.37
6.36,4,2.61,1.35
5.46,4,2.73,1.52
5.92,4,2.84,1.42
6.28,4,2.63,1.36
5.84,4,2.83,1.44
5.98,4,2.77,1.40
5.90,4,2.80,1.42
6.42,4,2.71,1.36
-1.00,3,2.64,1.28
5.58,4,3.03,1.48
6.44,4,2.75,1.37
6.28,4,2.59,1.37
6.04,4,2.78,1.43
6.06,4,2.83,1.39
6.04,4,2.76,1.42
6.20,4,2.76,1.36
6.30,4,2.85,1.40
6.26,4,2.67,1.35
5.76,4,3.00,1.45
6.36,4,2.76,1.31
5.96,4,2.73,1.40
6.26,4,2.79,1.41
6.04,4,2.70,1.42
6.12,4,2.68,1.40
-1.00,3,2.73,1.48
6.16,4,2.67,1.36
6.48,4,2.60,1.33
5.80,4,2.83,1.45
5.96,4,2.77,1.45
5.88,4,2.74,1.46
5.96,4,2.89,1.43
5.72,4,2.77,1.45
-1.00,3,3.09,1.68
5.92,4,2.70,1.39
5.78,4,2.80,1.47
-1.00,2,2.75,1.53
6.04,4,2.84,1.41
5.70,4,2.71,1.46
