Lap Times,Passed Gates,Max Velocity,Mean Velocity
6.32,4,2.64,1.32
6.14,4,2.64,1.33
6.34,4,2.69,1.34
-1.00,3,2.57,1.35
6.48,4,2.60,1.31
5.90,4,2.54,1.40
6.76,4,2.58,1.24
6.16,4,2.61,1.36
6.58,4,2.70,1.32
6.18,4,2.67,1.34
6.36,4,2.64,1.33
6.52,4,2.56,1.32
6.16,4,2.51,1.39
6.48,4,2.54,1.32
6.36,4,2.65,1.35
5.92,4,2.64,1.40
6.38,4,2.64,1.37
-1.00,3,2.60,1.36
-1.00,3,2.54,1.34
-1.00,3,2.56,1.32
6.70,4,2.49,1.29
6.38,4,2.59,1.32
6.22,4,2.61,1.34
-1.00,1,3.97,1.92
6.26,4,2.60,1.35
6.42,4,2.62,1.34
6.24,4,2.61,1.34
6.44,4,2.61,1.34
-1.00,1,2.15,1.31
6.30,4,2.66,1.35
6.22,4,2.51,1.36
6.76,4,2.56,1.29
5.98,4,2.77,1.41
-1.00,2,2.66,1.47
6.28,4,2.51,1.34
6.46,4,2.44,1.32
6.30,4,2.61,1.35
6.18,4,2.62,1.33
6.38,4,2.72,1.31
6.20,4,2.65,1.37
6.42,4,2.60,1.33
6.42,4,2.58,1.33
6.72,4,2.54,1.28
6.04,4,2.70,1.41
6.26,4,2.71,1.32
6.00,4,2.69,1.37
6.42,4,2.69,1.32
6.12,4,2.57,1.36
6.18,4,2.72,1.36
6.40,4,2.65,1.33
6.28,4,2.63,1.35
6.00,4,2.63,1.41
6.58,4,2.56,1.30
6.12,4,2.58,1.37
6.78,4,2.57,1.24
6.28,4,2.58,1.34
-1.00,2,2.62,1.44
6.22,4,2.63,1.36
6.18,4,2.71,1.40
6.04,4,2.62,1.36
-1.00,3,2.67,1.42
6.36,4,2.60,1.31
-1.00,3,2.64,1.33
6.74,4,2.49,1.25
6.28,4,2.68,1.34
-1.00,3,2.64,1.43
6.40,4,2.53,1.33
6.38,4,2.64,1.33
6.66,4,2.51,1.30
6.10,4,2.56,1.33
6.42,4,2.60,1.28
6.16,4,2.55,1.32
6.40,4,2.50,1.30
6.36,4,2.59,1.32
-1.00,2,2.62,1.48
5.98,4,2.60,1.41
6.36,4,2.58,1.31
6.04,4,2.63,1.40
6.72,4,2.58,1.28
6.12,4,2.56,1.36
6.24,4,2.68,1.32
6.22,4,2.88,1.40
6.60,4,2.55,1.30
6.46,4,2.62,1.35
6.06,4,2.68,1.37
-1.00,3,2.55,1.32
6.00,4,2.63,1.38
6.24,4,2.68,1.33
6.42,4,2.62,1.33
-1.00,3,2.58,1.31
6.70,4,2.60,1.29
6.34,4,2.59,1.32
6.28,4,2.54,1.37
6.38,4,2.56,1.31
-1.00,3,2.56,1.39
7.12,4,2.41,1.20
6.36,4,2.68,1.32
-1.00,2,2.75,1.52
6.38,4,2.55,1.35
6.56,4,2.61,1.29
