Lap Times,Passed Gates,Max Velocity,Mean Velocity
-1.00,0,3.01,1.93
-1.00,1,3.14,1.95
5.04,4,3.32,1.67
5.04,4,3.01,1.68
-1.00,0,2.86,1.87
4.68,4,3.57,1.85
-1.00,3,3.05,1.74
-1.00,3,3.29,1.75
5.22,4,3.12,1.60
-1.00,0,2.97,1.91
5.04,4,3.07,1.65
5.38,4,3.08,1.59
-1.00,3,3.31,1.77
4.70,4,3.18,1.75
-1.00,0,3.18,2.00
4.68,4,3.33,1.77
-1.00,0,2.93,1.89
-1.00,1,2.82,1.93
4.64,4,3.14,1.82
-1.00,3,3.05,1.71
5.02,4,3.02,1.65
-1.00,3,3.39,1.75
-1.00,0,3.13,2.01
4.84,4,3.06,1.74
-1.00,1,2.78,1.71
5.14,4,3.26,1.64
5.10,4,3.10,1.63
5.32,4,3.06,1.58
4.54,4,3.21,1.78
-1.00,0,3.09,1.98
5.20,4,2.86,1.58
4.68,4,3.14,1.76
-1.00,2,3.47,2.01
4.62,4,3.11,1.78
5.00,4,3.06,1.65
-1.00,3,3.07,1.86
4.78,4,3.13,1.71
5.02,4,3.21,1.62
5.16,4,3.05,1.61
-1.00,3,3.07,1.62
-1.00,3,2.98,1.56
-1.00,2,3.03,1.95
-1.00,3,3.01,1.66
-1.00,0,3.09,2.15
4.88,4,3.34,1.68
-1.00,3,3.15,1.80
4.64,4,3.17,1.77
-1.00,3,3.09,1.83
-1.00,3,3.11,1.60
5.06,4,3.16,1.67
-1.00,3,3.39,1.91
4.60,4,3.22,1.85
-1.00,0,3.19,2.07
4.28,4,3.22,1.91
-1.00,3,4.87,2.06
5.26,4,3.14,1.60
4.72,4,3.11,1.75
4.78,4,3.45,1.79
4.72,4,3.20,1.74
-1.00,3,3.16,1.78
-1.00,0,3.01,2.01
5.12,4,3.08,1.63
-1.00,0,2.95,1.93
4.70,4,3.30,1.78
4.38,4,3.23,1.86
-1.00,0,3.08,1.97
-1.00,0,2.89,1.90
5.24,4,3.12,1.61
-1.00,0,3.08,2.07
4.66,4,3.00,1.79
4.52,4,3.38,1.82
-1.00,0,2.98,2.06
-1.00,3,3.13,1.88
-1.00,0,3.05,1.96
4.74,4,3.06,1.73
5.42,4,2.97,1.57
4.50,4,3.28,1.89
-1.00,1,3.04,1.84
5.42,4,3.08,1.54
-1.00,3,3.18,1.68
4.38,4,3.40,1.90
-1.00,0,3.07,2.01
4.68,4,3.38,1.83
5.18,4,3.11,1.63
-1.00,3,3.11,1.77
4.96,4,3.04,1.67
4.82,4,3.25,1.76
-1.00,2,3.31,2.14
4.34,4,3.50,1.95
-1.00,1,3.16,1.86
4.48,4,3.19,1.81
-1.00,3,3.21,1.79
5.08,4,3.05,1.61
4.82,4,3.55,1.74
5.00,4,3.13,1.69
-1.00,0,2.94,1.93
4.92,4,3.15,1.71
4.84,4,3.42,1.79
-1.00,0,2.90,1.98
5.16,4,3.07,1.62
