Lap Times,Passed Gates,Max Velocity,Mean Velocity
4.98,4,3.65,1.70
-1.00,0,3.24,2.16
-1.00,1,2.60,1.60
-1.00,1,2.66,1.74
4.80,4,3.15,1.75
4.88,4,3.56,1.74
4.72,4,3.57,1.82
-1.00,0,2.70,1.88
4.34,4,3.62,1.93
4.48,4,3.75,1.87
-1.00,0,2.71,1.72
4.44,4,3.14,1.85
4.80,4,3.30,1.75
4.86,4,3.83,1.73
-1.00,3,2.99,1.61
4.88,4,3.76,1.77
5.34,4,2.85,1.56
4.94,4,3.54,1.69
4.42,4,3.57,1.84
-1.00,3,3.41,1.86
4.64,4,3.81,1.82
-1.00,1,2.61,1.51
4.92,4,2.82,1.68
-1.00,3,2.97,1.58
-1.00,0,2.70,1.90
-1.00,3,3.22,1.83
-1.00,2,2.59,1.53
-1.00,0,2.87,2.01
-1.00,1,3.13,2.16
-1.00,0,2.87,1.96
-1.00,1,3.24,1.96
-1.00,0,2.63,1.74
-1.00,1,2.95,1.85
-1.00,3,3.09,1.73
4.74,4,3.58,1.76
5.42,4,3.43,1.56
4.86,4,2.78,1.70
-1.00,0,2.52,1.80
4.42,4,3.42,1.89
-1.00,1,3.43,2.03
-1.00,3,3.68,1.77
5.08,4,2.78,1.60
5.08,4,2.98,1.63
5.10,4,2.88,1.64
4.24,4,3.69,1.98
-1.00,3,3.64,1.82
-1.00,3,2.90,1.63
-1.00,1,4.50,2.11
4.50,4,3.73,1.88
-1.00,0,3.54,2.24
-1.00,0,3.55,2.31
4.96,4,3.50,1.71
-1.00,3,3.57,1.71
5.50,4,3.72,1.51
4.34,4,3.59,1.91
-1.00,1,2.56,1.53
4.72,4,3.84,1.77
-1.00,2,3.10,1.84
4.84,4,2.87,1.69
-1.00,1,3.47,2.27
-1.00,0,2.59,1.77
-1.00,3,3.68,1.72
4.58,4,3.46,1.83
-1.00,0,2.89,1.97
4.68,4,3.80,1.83
-1.00,1,2.53,1.79
4.72,4,3.12,1.79
-1.00,2,2.49,1.50
4.80,4,3.16,1.69
-1.00,3,3.60,1.61
4.44,4,3.90,1.90
-1.00,3,2.87,1.65
4.88,4,3.71,1.75
5.66,4,2.80,1.53
4.90,4,3.70,1.72
4.44,4,3.52,1.85
4.94,4,3.68,1.68
-1.00,3,2.66,1.61
-1.00,3,2.78,1.62
-1.00,3,3.39,1.84
-1.00,1,3.75,2.06
-1.00,0,3.14,2.10
-1.00,0,2.79,1.93
4.92,4,3.72,1.71
-1.00,3,2.89,1.75
-1.00,3,3.00,1.89
4.88,4,3.03,1.74
-1.00,0,2.69,1.84
4.74,4,3.50,1.92
4.54,4,3.40,1.83
-1.00,0,2.86,1.95
4.88,4,3.80,1.70
4.40,4,3.73,1.86
5.44,4,2.62,1.55
-1.00,1,3.50,2.01
4.76,4,3.68,1.78
-1.00,3,3.75,1.74
-1.00,0,2.65,1.85
-1.00,0,2.73,1.79
4.52,4,3.74,1.88
