Lap Times,Passed Gates,Max Velocity,Mean Velocity
6.48,4,2.55,1.30
6.30,4,2.53,1.35
6.04,4,2.48,1.38
6.60,4,2.46,1.28
-1.00,1,2.17,1.33
5.98,4,2.50,1.38
5.92,4,2.53,1.40
-1.00,3,5.56,1.71
6.26,4,2.44,1.36
6.40,4,2.51,1.29
6.44,4,2.56,1.29
6.48,4,2.57,1.30
5.98,4,2.55,1.39
-1.00,2,2.52,1.69
6.38,4,2.47,1.32
6.50,4,2.53,1.31
5.76,4,2.55,1.43
-1.00,3,2.57,1.39
5.86,4,2.58,1.43
6.44,4,2.59,1.33
6.32,4,2.58,1.33
6.08,4,2.48,1.37
5.92,4,2.53,1.40
5.88,4,2.51,1.43
6.00,4,2.53,1.37
6.12,4,2.54,1.35
6.36,4,2.58,1.31
6.02,4,2.56,1.38
6.20,4,2.56,1.33
-1.00,0,2.26,1.52
-1.00,1,2.29,1.34
6.06,4,2.60,1.36
6.40,4,2.58,1.36
-1.00,1,2.31,1.32
6.30,4,2.49,1.34
6.60,4,2.48,1.28
5.98,4,2.56,1.36
6.20,4,2.51,1.35
-1.00,3,2.44,1.36
-1.00,1,2.25,1.34
6.06,4,2.57,1.38
-1.00,3,2.52,1.45
6.24,4,2.58,1.36
6.14,4,2.64,1.35
-1.00,3,2.49,1.30
6.36,4,2.51,1.32
-1.00,2,2.61,1.56
5.90,4,2.49,1.39
6.02,4,2.58,1.38
6.26,4,2.55,1.36
6.26,4,2.49,1.35
-1.00,3,2.51,1.36
5.78,4,2.51,1.43
5.82,4,2.54,1.40
6.32,4,2.56,1.31
6.26,4,2.57,1.34
6.30,4,2.55,1.33
6.46,4,2.50,1.28
6.10,4,2.59,1.39
6.42,4,2.55,1.30
6.36,4,2.55,1.32
6.02,4,2.49,1.35
6.26,4,2.56,1.37
-1.00,3,2.47,1.33
6.28,4,2.41,1.34
5.84,4,2.57,1.39
6.14,4,2.56,1.37
-1.00,1,2.40,1.42
6.38,4,2.49,1.31
6.08,4,2.49,1.35
6.18,4,2.59,1.34
6.16,4,2.55,1.35
6.34,4,2.56,1.31
6.72,4,2.47,1.24
6.58,4,2.49,1.30
6.20,4,2.52,1.34
6.48,4,2.59,1.32
6.04,4,2.57,1.37
6.28,4,2.57,1.35
-1.00,1,2.22,1.31
6.00,4,2.67,1.44
-1.00,3,2.58,1.33
6.08,4,2.54,1.39
6.24,4,2.47,1.37
-1.00,2,2.28,1.38
5.74,4,2.60,1.46
6.58,4,2.51,1.32
5.94,4,2.62,1.41
6.20,4,2.59,1.34
6.42,4,2.53,1.33
5.94,4,2.54,1.40
6.00,4,2.56,1.39
6.22,4,2.56,1.33
-1.00,1,2.30,1.43
6.06,4,2.62,1.38
6.30,4,2.48,1.33
5.92,4,2.61,1.41
5.88,4,2.60,1.40
6.18,4,2.51,1.35
-1.00,3,2.55,1.36
