Lap Times,Passed Gates,Max Velocity,Mean Velocity
-1.00,2,2.89,1.60
5.64,4,2.90,1.46
5.56,4,2.91,1.49
6.26,4,3.14,1.34
5.96,4,2.86,1.41
5.62,4,3.18,1.46
6.08,4,3.01,1.40
5.88,4,2.94,1.45
-1.00,0,2.71,1.69
6.20,4,2.73,1.38
-1.00,3,2.99,1.56
6.48,4,2.97,1.31
-1.00,0,2.77,1.82
6.08,4,2.82,1.39
5.84,4,3.13,1.41
6.02,4,2.89,1.40
5.70,4,2.99,1.44
5.62,4,3.00,1.48
5.48,4,3.22,1.52
-1.00,0,2.86,1.85
-1.00,0,2.70,1.76
-1.00,0,2.66,1.78
-1.00,0,2.89,1.86
5.96,4,2.85,1.43
-1.00,0,2.68,1.67
5.56,4,2.99,1.51
-1.00,3,7.01,1.78
5.94,4,3.10,1.44
5.84,4,2.96,1.46
-1.00,3,3.04,1.48
-1.00,3,3.02,1.39
5.94,4,2.99,1.42
6.18,4,3.02,1.38
-1.00,1,2.96,1.99
5.66,4,2.99,1.47
-1.00,3,2.95,1.50
5.44,4,3.09,1.53
5.90,4,2.79,1.44
5.60,4,2.86,1.48
6.08,4,2.92,1.40
5.70,4,2.92,1.45
-1.00,2,2.96,1.62
-1.00,0,2.79,1.82
6.12,4,3.03,1.43
5.56,4,2.95,1.52
6.18,4,2.85,1.41
5.76,4,3.10,1.43
6.10,4,2.88,1.41
-1.00,0,2.90,1.83
-1.00,3,3.04,1.51
5.94,4,2.84,1.44
-1.00,2,2.98,1.59
5.86,4,2.73,1.44
6.26,4,2.86,1.36
5.62,4,3.10,1.52
5.68,4,3.12,1.43
5.76,4,3.14,1.45
5.44,4,3.12,1.56
5.66,4,3.00,1.52
6.04,4,2.94,1.38
5.72,4,2.93,1.55
-1.00,3,3.06,1.61
-1.00,3,2.88,1.33
5.82,4,3.00,1.45
6.38,4,2.95,1.35
-1.00,3,2.98,1.72
-1.00,2,4.07,1.80
5.96,4,3.03,1.40
5.58,4,3.03,1.49
5.84,4,3.10,1.46
5.66,4,3.09,1.51
-1.00,0,2.72,1.77
5.80,4,3.01,1.45
5.80,4,3.10,1.44
5.72,4,3.11,1.48
-1.00,0,2.76,1.84
6.14,4,2.86,1.42
5.82,4,3.02,1.44
5.78,4,3.05,1.48
5.52,4,3.09,1.53
5.54,4,2.99,1.51
-1.00,2,2.92,1.72
5.76,4,3.01,1.47
5.76,4,3.04,1.48
5.76,4,2.88,1.48
5.70,4,3.07,1.51
5.62,4,3.03,1.47
6.00,4,3.03,1.41
-1.00,0,2.56,1.61
6.10,4,2.95,1.41
6.30,4,3.00,1.35
5.82,4,2.98,1.42
5.88,4,2.99,1.42
5.50,4,3.03,1.51
5.82,4,3.00,1.46
-1.00,0,2.71,1.75
6.00,4,2.97,1.46
5.74,4,2.98,1.48
6.12,4,2.93,1.39
-1.00,1,2.83,1.91
