Lap Times,Passed Gates,Max Velocity,Mean Velocity
-1.00,2,2.89,1.59
5.82,4,2.90,1.45
-1.00,2,2.96,1.73
5.98,4,2.93,1.41
-1.00,2,2.94,1.64
6.08,4,2.87,1.41
5.90,4,3.22,1.44
-1.00,0,2.61,1.64
5.76,4,3.03,1.48
6.06,4,2.87,1.40
5.94,4,3.04,1.43
5.74,4,2.97,1.44
5.82,4,2.96,1.45
6.08,4,2.91,1.37
5.76,4,2.94,1.48
5.58,4,3.15,1.47
5.74,4,2.94,1.46
5.80,4,2.93,1.45
-1.00,3,3.16,1.52
5.80,4,3.03,1.41
5.84,4,3.04,1.44
5.98,4,3.04,1.43
-1.00,0,2.49,1.59
6.14,4,2.88,1.40
5.84,4,2.89,1.40
-1.00,3,3.37,1.60
5.60,4,2.90,1.45
5.52,4,3.09,1.50
6.14,4,2.90,1.39
-1.00,2,2.99,1.75
6.10,4,2.97,1.40
-1.00,3,3.51,1.63
6.06,4,2.74,1.39
6.22,4,2.94,1.41
-1.00,3,3.07,1.49
-1.00,3,2.88,1.51
5.78,4,3.13,1.45
-1.00,0,2.82,1.89
-1.00,0,2.76,1.79
-1.00,0,2.39,1.54
6.40,4,2.83,1.32
5.66,4,3.15,1.51
5.62,4,3.06,1.51
5.94,4,3.10,1.47
6.32,4,2.73,1.37
5.60,4,3.15,1.50
5.58,4,3.06,1.50
5.76,4,3.04,1.46
-1.00,0,2.62,1.72
6.02,4,2.84,1.42
-1.00,1,2.56,1.73
5.40,4,3.07,1.54
5.62,4,3.15,1.50
6.00,4,3.00,1.41
5.96,4,3.01,1.39
5.44,4,3.07,1.56
6.24,4,2.80,1.39
5.88,4,2.92,1.40
6.20,4,2.97,1.36
5.52,4,3.18,1.49
5.86,4,2.92,1.43
5.92,4,3.03,1.40
6.10,4,2.94,1.41
-1.00,3,3.64,1.56
6.08,4,2.96,1.38
6.02,4,2.94,1.40
5.66,4,3.05,1.50
5.84,4,2.96,1.47
-1.00,0,2.43,1.59
5.90,4,2.97,1.43
5.38,4,2.99,1.51
6.16,4,2.90,1.37
6.14,4,2.87,1.36
6.06,4,2.90,1.37
-1.00,0,2.43,1.54
6.26,4,2.86,1.35
5.52,4,3.03,1.55
6.02,4,2.88,1.39
5.62,4,3.03,1.46
5.84,4,3.08,1.43
-1.00,0,2.47,1.57
6.28,4,3.10,1.36
5.96,4,3.09,1.41
5.98,4,2.92,1.42
5.92,4,2.88,1.44
6.26,4,2.90,1.33
5.56,4,3.19,1.44
5.60,4,2.96,1.49
-1.00,3,2.95,1.80
5.84,4,3.02,1.40
6.58,4,2.74,1.30
5.64,4,3.23,1.48
-1.00,0,2.53,1.58
5.74,4,3.07,1.43
5.52,4,3.01,1.51
5.34,4,2.88,1.60
-1.00,0,2.53,1.57
5.72,4,2.95,1.48
6.22,4,2.95,1.39
5.78,4,3.02,1.46
