Lap Times,Passed Gates,Max Velocity,Mean Velocity
-1.00,0,2.80,1.79
5.30,4,2.95,1.60
5.40,4,2.90,1.58
5.24,4,2.86,1.61
-1.00,3,2.91,1.71
5.24,4,2.94,1.61
5.00,4,2.91,1.68
-1.00,3,2.84,1.58
-1.00,0,2.96,1.92
4.88,4,3.01,1.71
-1.00,0,2.91,1.84
5.00,4,3.01,1.62
4.96,4,2.92,1.69
5.16,4,2.90,1.66
-1.00,0,2.75,1.82
4.98,4,2.85,1.65
5.18,4,2.95,1.65
5.28,4,2.86,1.61
-1.00,1,2.92,1.95
-1.00,2,2.93,1.60
-1.00,1,2.90,1.74
6.04,4,3.04,1.60
5.02,4,2.92,1.64
5.08,4,3.00,1.69
5.34,4,2.85,1.61
-1.00,1,2.96,1.99
6.00,4,3.01,1.43
5.12,4,2.96,1.65
-1.00,3,2.87,1.61
-1.00,0,2.98,1.99
5.66,4,2.96,1.48
5.36,4,2.90,1.62
-1.00,3,2.96,1.78
-1.00,1,2.91,1.93
5.94,4,2.93,1.41
5.18,4,2.95,1.64
5.16,4,2.90,1.62
5.12,4,2.92,1.63
4.94,4,3.04,1.71
-1.00,0,2.80,1.95
-1.00,0,2.93,1.93
4.80,4,2.93,1.76
5.02,4,2.91,1.68
5.10,4,2.98,1.63
-1.00,3,2.89,1.64
-1.00,0,2.88,1.91
-1.00,1,2.91,1.98
5.14,4,2.88,1.64
5.88,4,2.91,1.47
5.08,4,2.88,1.63
5.08,4,2.91,1.68
4.74,4,3.19,1.81
-1.00,0,2.94,1.89
5.22,4,3.00,1.64
-1.00,3,2.88,1.45
5.10,4,2.91,1.62
5.18,4,2.97,1.65
5.30,4,2.89,1.58
5.22,4,2.94,1.61
5.54,4,2.80,1.53
4.80,4,2.99,1.75
5.26,4,2.82,1.58
-1.00,3,2.82,1.62
4.90,4,2.91,1.68
-1.00,3,3.03,1.71
4.98,4,2.96,1.70
5.08,4,2.94,1.63
4.82,4,2.86,1.72
4.98,4,2.85,1.66
-1.00,1,2.81,1.92
-1.00,0,2.88,1.93
5.04,4,2.90,1.67
-1.00,3,2.90,1.61
4.68,4,2.98,1.76
4.88,4,2.94,1.69
5.18,4,2.89,1.61
5.04,4,2.90,1.65
4.98,4,2.92,1.69
5.08,4,2.86,1.63
5.38,4,2.88,1.59
-1.00,0,2.89,1.89
-1.00,0,2.93,1.90
-1.00,0,2.91,1.86
5.34,4,2.87,1.55
5.16,4,2.93,1.62
4.90,4,3.01,1.71
-1.00,1,2.97,1.75
5.40,4,2.89,1.57
-1.00,3,2.98,1.62
5.32,4,2.82,1.58
4.94,4,2.87,1.69
5.16,4,2.95,1.65
5.14,4,2.92,1.69
-1.00,3,2.92,1.64
5.38,4,3.00,1.57
-1.00,3,2.91,1.59
-1.00,3,2.84,1.60
5.14,4,2.90,1.64
5.22,4,2.85,1.63
4.90,4,2.88,1.67
